Implementation,Input Size,Run,Time (s),Average (s),Median (s),Std Dev (s)
Baseline (C),512,1,0.000901,,,
Baseline (C),512,2,0.001130,,,
Baseline (C),512,3,0.001055,,,
Baseline (C),512,4,0.000894,,,
Baseline (C),512,5,0.000883,,,
Baseline (C),512,6,0.002460,,,
Baseline (C),512,7,0.000904,,,
Baseline (C),512,8,0.000924,,,
Baseline (C),512,9,0.000896,,,
Baseline (C),512,10,0.000872,,,
Baseline (C),512,Summary,-,.001091,.000902,0
Optimized (C++),512,1,0.000064,,,
Optimized (C++),512,2,0.000071,,,
Optimized (C++),512,3,0.000065,,,
Optimized (C++),512,4,0.000066,,,
Optimized (C++),512,5,0.000064,,,
Optimized (C++),512,6,0.000065,,,
Optimized (C++),512,7,0.000065,,,
Optimized (C++),512,8,0.000065,,,
Optimized (C++),512,9,0.000095,,,
Optimized (C++),512,10,0.000095,,,
Optimized (C++),512,Summary,-,.000071,.000065,0
Speedup,512,-,-,15.36x,-,-
Baseline (C),1024,1,0.003641,,,
Baseline (C),1024,2,0.004475,,,
Baseline (C),1024,3,0.003792,,,
Baseline (C),1024,4,0.005283,,,
Baseline (C),1024,5,0.004332,,,
Baseline (C),1024,6,0.004192,,,
Baseline (C),1024,7,0.004143,,,
Baseline (C),1024,8,0.004743,,,
Baseline (C),1024,9,0.005635,,,
Baseline (C),1024,10,0.003524,,,
Baseline (C),1024,Summary,-,.004376,.004262,0
Optimized (C++),1024,1,0.000344,,,
Optimized (C++),1024,2,0.000223,,,
Optimized (C++),1024,3,0.000223,,,
Optimized (C++),1024,4,0.000247,,,
Optimized (C++),1024,5,0.000226,,,
Optimized (C++),1024,6,0.000223,,,
Optimized (C++),1024,7,0.000229,,,
Optimized (C++),1024,8,0.000302,,,
Optimized (C++),1024,9,0.000232,,,
Optimized (C++),1024,10,0.000297,,,
Optimized (C++),1024,Summary,-,.000254,.000230,0
Speedup,1024,-,-,17.22x,-,-
Baseline (C),2048,1,0.015429,,,
Baseline (C),2048,2,0.015757,,,
Baseline (C),2048,3,0.016350,,,
Baseline (C),2048,4,0.014888,,,
Baseline (C),2048,5,0.015042,,,
Baseline (C),2048,6,0.014811,,,
Baseline (C),2048,7,0.014932,,,
Baseline (C),2048,8,0.015440,,,
Baseline (C),2048,9,0.019352,,,
Baseline (C),2048,10,0.017518,,,
Baseline (C),2048,Summary,-,.015951,.015434,.001000
Optimized (C++),2048,1,0.000942,,,
Optimized (C++),2048,2,0.000907,,,
Optimized (C++),2048,3,0.001247,,,
Optimized (C++),2048,4,0.000904,,,
Optimized (C++),2048,5,0.000987,,,
Optimized (C++),2048,6,0.000901,,,
Optimized (C++),2048,7,0.000895,,,
Optimized (C++),2048,8,0.000888,,,
Optimized (C++),2048,9,0.000884,,,
Optimized (C++),2048,10,0.000915,,,
Optimized (C++),2048,Summary,-,.000947,.000905,0
Speedup,2048,-,-,16.84x,-,-
Baseline (C),4096,1,0.063898,,,
Baseline (C),4096,2,0.065597,,,
Baseline (C),4096,3,0.059868,,,
Baseline (C),4096,4,0.059981,,,
